Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Sao Tome and Principe, Total population",Sao Tome and Principe,Middle Africa,678,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,215.06 
"Saudi Arabia, Total population",Saudi Arabia,Western Asia,682,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,34268.53 
"Senegal, Total population",Senegal,Western Africa,686,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,16296.36 
"Serbia, Total population",Serbia,Southern Europe,688,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,8772.24 
"Seychelles, Total population",Seychelles,Eastern Africa,690,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,97.74 
"Sierra Leone, Total population",Sierra Leone,Western Africa,694,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,7813.22 
"Singapore, Total population",Singapore,South-eastern Asia,702,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,5804.34 
"Slovakia, Total population",Slovakia,Eastern Europe,703,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,5457.01 
"Slovenia, Total population",Slovenia,Southern Europe,705,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,2078.65 
"Solomon Islands, Total population",Solomon Islands,Melanesia,90,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,669.82 
"Somalia, Total population",Somalia,Eastern Africa,706,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,15442.91 
"South Africa, Total population",South Africa,Southern Africa,710,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,58558.27 
"South Sudan, Total population",South Sudan,Eastern Africa,728,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11062.11 
"Spain, Total population",Spain,Southern Europe,724,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,46736.78 
"Sri Lanka, Total population",Sri Lanka,Southern Asia,144,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,21323.73 
"Sudan, Total population",Sudan,Northern Africa,729,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,42813.24 
"Suriname, Total population",Suriname,South America,740,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,581.37 
"Sweden, Total population",Sweden,Northern Europe,752,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,10036.38 
"Switzerland, Total population",Switzerland,Western Europe,756,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,8591.37 
"Syrian Arab Republic, Total population",Syrian Arab Republic,Western Asia,760,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,17070.14 
"Tajikistan, Total population",Tajikistan,Central Asia,762,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,9321.02 
"Thailand, Total population",Thailand,South-eastern Asia,764,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,69625.58 
"Timor-Leste, Total population",Timor-Leste,South-eastern Asia,626,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1293.12 
"Togo, Total population",Togo,Western Africa,768,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,8082.37 
"Tokelau, Total population",Tokelau,Polynesia,772,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1.34 
"Tonga, Total population",Tonga,Polynesia,776,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,104.49 
"Trinidad and Tobago, Total population",Trinidad and Tobago,Caribbean,780,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,1394.97 
"Tunisia, Total population",Tunisia,Northern Africa,788,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11694.72 
"Türkiye, Total population",Türkiye,Western Asia,792,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,83429.62 
"Turkmenistan, Total population",Turkmenistan,Central Asia,795,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,5942.09 
"Tuvalu, Total population",Tuvalu,Polynesia,798,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,11.65 
"Uganda, Total population",Uganda,Eastern Africa,800,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,44269.59 
"Ukraine, Total population",Ukraine,Eastern Europe,804,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,43993.64 
"United Arab Emirates, Total population",United Arab Emirates,Western Asia,784,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,9770.53 
"United Kingdom, Total population",United Kingdom,Northern Europe,826,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,67530.17 
"United Republic of Tanzania, Total population",United Republic of Tanzania,Eastern Africa,834,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,58005.46 
"United States of America, Total population",United States of America,Northern America,840,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,329064.92 
"Uruguay, Total population",Uruguay,South America,858,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,3461.73 
"Uzbekistan, Total population",Uzbekistan,Central Asia,860,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,32981.72 
"Vanuatu, Total population",Vanuatu,Melanesia,548,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,299.88 
"Venezuela (Bolivarian Republic of), Total population",Venezuela (Bolivarian Republic of),South America,862,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,28515.83 
"Viet Nam, Total population",Viet Nam,South-eastern Asia,704,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,96462.11 
"Yemen, Total population",Yemen,Western Asia,887,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,29161.92 
"Zambia, Total population",Zambia,Eastern Africa,894,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,17861.03 
"Zimbabwe, Total population",Zimbabwe,Eastern Africa,716,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,14645.47 
