Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"New Zealand, Total water withdrawal",New Zealand,Australia and New Zealand,554,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,4.89
"Nicaragua, Total water withdrawal",Nicaragua,Central America,558,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.54
"Niger, Total water withdrawal",Niger,Western Africa,562,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.58
"Nigeria, Total water withdrawal",Nigeria,Western Africa,566,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,12.48
"North Macedonia, Total water withdrawal",North Macedonia,Southern Europe,807,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.86
"Norway, Total water withdrawal",Norway,Northern Europe,578,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.69
"Oman, Total water withdrawal",Oman,Western Asia,512,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1.87
"Pakistan, Total water withdrawal",Pakistan,Southern Asia,586,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,183.45
"Palestine(1996-), Total water withdrawal",Palestine(1996-),Western Asia,275,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.42
"Panama, Total water withdrawal",Panama,Central America,591,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1.21
"Papua New Guinea, Total water withdrawal",Papua New Guinea,Melanesia,598,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.39
"Paraguay, Total water withdrawal",Paraguay,South America,600,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2.41
"Peru, Total water withdrawal",Peru,South America,604,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,38.55
"Philippines, Total water withdrawal",Philippines,South-eastern Asia,608,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,85.87
"Poland, Total water withdrawal",Poland,Eastern Europe,616,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,9.86
"Portugal, Total water withdrawal",Portugal,Southern Europe,620,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,6.13
"Puerto Rico, Total water withdrawal",Puerto Rico,Caribbean,630,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.27
"Qatar, Total water withdrawal",Qatar,Western Asia,634,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.92
"Republic of Korea, Total water withdrawal",Republic of Korea,Eastern Asia,410,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,27.08
"Republic of Moldova, Total water withdrawal",Republic of Moldova,Eastern Europe,498,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.84
"Romania, Total water withdrawal",Romania,Eastern Europe,642,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,6.42
"Russian Federation, Total water withdrawal",Russian Federation,Eastern Europe,643,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,64.82
"Rwanda, Total water withdrawal",Rwanda,Eastern Africa,646,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.61
"Saint Kitts and Nevis, Total water withdrawal",Saint Kitts and Nevis,Caribbean,659,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.02
"Saint Lucia, Total water withdrawal",Saint Lucia,Caribbean,662,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.04
"Saint Vincent and the Grenadines, Total water withdrawal",Saint Vincent and the Grenadines,Caribbean,670,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.01
"Sao Tome and Principe, Total water withdrawal",Sao Tome and Principe,Middle Africa,678,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.04
"Saudi Arabia, Total water withdrawal",Saudi Arabia,Western Asia,682,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,25.99
"Senegal, Total water withdrawal",Senegal,Western Africa,686,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.02
"Serbia, Total water withdrawal",Serbia,Southern Europe,688,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,5.62
"Seychelles, Total water withdrawal",Seychelles,Eastern Africa,690,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.01
"Sierra Leone, Total water withdrawal",Sierra Leone,Western Africa,694,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.21
"Singapore, Total water withdrawal",Singapore,South-eastern Asia,702,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.66
"Slovakia, Total water withdrawal",Slovakia,Eastern Europe,703,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.61
"Slovenia, Total water withdrawal",Slovenia,Southern Europe,705,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,0.94
"Somalia, Total water withdrawal",Somalia,Eastern Africa,706,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.3
"South Africa, Total water withdrawal",South Africa,Southern Africa,710,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,19.85
"South Sudan, Total water withdrawal",South Sudan,Eastern Africa,728,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.66
"Spain, Total water withdrawal",Spain,Southern Europe,724,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,29.47
"Sri Lanka, Total water withdrawal",Sri Lanka,Southern Asia,144,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,12.95
"Sudan, Total water withdrawal",Sudan,Northern Africa,729,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,26.94
"Suriname, Total water withdrawal",Suriname,South America,740,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.62
"Sweden, Total water withdrawal",Sweden,Northern Europe,752,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2.38
"Switzerland, Total water withdrawal",Switzerland,Western Europe,756,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.77
"Syrian Arab Republic, Total water withdrawal",Syrian Arab Republic,Western Asia,760,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,16.76
"Tajikistan, Total water withdrawal",Tajikistan,Central Asia,762,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,10.6
"Thailand, Total water withdrawal",Thailand,South-eastern Asia,764,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,57.31
"Timor-Leste, Total water withdrawal",Timor-Leste,South-eastern Asia,626,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1.17
"Togo, Total water withdrawal",Togo,Western Africa,768,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.22
"Trinidad and Tobago, Total water withdrawal",Trinidad and Tobago,Caribbean,780,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.38
"Tunisia, Total water withdrawal",Tunisia,Northern Africa,788,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.84
"Türkiye, Total water withdrawal",Türkiye,Western Asia,792,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,61.92
"Turkmenistan, Total water withdrawal",Turkmenistan,Central Asia,795,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,27.95
"Uganda, Total water withdrawal",Uganda,Eastern Africa,800,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.64
"Ukraine, Total water withdrawal",Ukraine,Eastern Europe,804,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,11.07
"United Arab Emirates, Total water withdrawal",United Arab Emirates,Western Asia,784,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,5.07
"United Kingdom, Total water withdrawal",United Kingdom,Northern Europe,826,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,8.42
"United Republic of Tanzania, Total water withdrawal",United Republic of Tanzania,Eastern Africa,834,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,5.18
"United States of America, Total water withdrawal",United States of America,Northern America,840,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,444.29
"Uruguay, Total water withdrawal",Uruguay,South America,858,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.66
"Uzbekistan, Total water withdrawal",Uzbekistan,Central Asia,860,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,58.9
"Venezuela (Bolivarian Republic of), Total water withdrawal",Venezuela (Bolivarian Republic of),South America,862,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,22.63
"Viet Nam, Total water withdrawal",Viet Nam,South-eastern Asia,704,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,82.03
"Yemen, Total water withdrawal",Yemen,Western Asia,887,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.57
"Zambia, Total water withdrawal",Zambia,Eastern Africa,894,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.57
"Zimbabwe, Total water withdrawal",Zimbabwe,Eastern Africa,716,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.77
