Country & Variable (Combined),Country,Region,M49,Variable,Variables,Unit,Unit,Symbol,Symbol Description,Symbol,2019
"Dominican Republic, GDP per capita",Dominican Republic,Caribbean,214,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"7,470.24"
"Dominican Republic, Total dam capacity",Dominican Republic,Caribbean,214,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.27
"Dominican Republic, Total population",Dominican Republic,Caribbean,214,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"10,738.96"
"Dominican Republic, Total renewable water resources",Dominican Republic,Caribbean,214,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,23.5
"Dominican Republic, Total water withdrawal",Dominican Republic,Caribbean,214,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,9.08
"Ecuador, GDP per capita",Ecuador,South America,218,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"6,428.00"
"Ecuador, Total dam capacity",Ecuador,South America,218,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,7.69
"Ecuador, Total population",Ecuador,South America,218,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"17,373.66"
"Ecuador, Total renewable water resources",Ecuador,South America,218,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,442.4
"Ecuador, Total water withdrawal",Ecuador,South America,218,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,9.92
"Egypt, GDP per capita",Egypt,Northern Africa,818,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"2,513.20"
"Egypt, Total dam capacity",Egypt,Northern Africa,818,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,168.2
"Egypt, Total population",Egypt,Northern Africa,818,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"100,388.07"
"Egypt, Total renewable water resources",Egypt,Northern Africa,818,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,57.5
"Egypt, Total water withdrawal",Egypt,Northern Africa,818,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,77.5
"El Salvador, GDP per capita",El Salvador,Central America,222,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,064.06"
"El Salvador, Total dam capacity",El Salvador,Central America,222,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.88
"El Salvador, Total population",El Salvador,Central America,222,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"6,453.55"
"El Salvador, Total renewable water resources",El Salvador,Central America,222,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,26.27
"El Salvador, Total water withdrawal",El Salvador,Central America,222,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,2.12
"Equatorial Guinea, GDP per capita",Equatorial Guinea,Middle Africa,226,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"10,141.12"
"Equatorial Guinea, Total population",Equatorial Guinea,Middle Africa,226,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"1,355.99"
"Equatorial Guinea, Total renewable water resources",Equatorial Guinea,Middle Africa,226,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,26
"Equatorial Guinea, Total water withdrawal",Equatorial Guinea,Middle Africa,226,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.02
"Eritrea, GDP per capita",Eritrea,Eastern Africa,232,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"1,321.38"
"Eritrea, Total dam capacity",Eritrea,Eastern Africa,232,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.04
"Eritrea, Total population",Eritrea,Eastern Africa,232,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"3,497.12"
"Eritrea, Total renewable water resources",Eritrea,Eastern Africa,232,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,7.32
"Eritrea, Total water withdrawal",Eritrea,Eastern Africa,232,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.58
"Estonia, GDP per capita",Estonia,Northern Europe,233,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"23,528.80"
"Estonia, Total dam capacity",Estonia,Northern Europe,233,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.18
"Estonia, Total population",Estonia,Northern Europe,233,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"1,325.65"
"Estonia, Total renewable water resources",Estonia,Northern Europe,233,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,12.81
"Estonia, Total water withdrawal",Estonia,Northern Europe,233,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,1.01
"Eswatini, GDP per capita",Eswatini,Southern Africa,748,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"3,385.57"
"Eswatini, Total dam capacity",Eswatini,Southern Africa,748,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.58
"Eswatini, Total population",Eswatini,Southern Africa,748,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"1,148.13"
"Eswatini, Total renewable water resources",Eswatini,Southern Africa,748,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,4.51
"Eswatini, Total water withdrawal",Eswatini,Southern Africa,748,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.07
"Ethiopia, GDP per capita",Ethiopia,Eastern Africa,231,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,746.66
"Ethiopia, Total dam capacity",Ethiopia,Eastern Africa,231,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,31.48
"Ethiopia, Total population",Ethiopia,Eastern Africa,231,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"112,078.73"
"Ethiopia, Total renewable water resources",Ethiopia,Eastern Africa,231,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,122
"Ethiopia, Total water withdrawal",Ethiopia,Eastern Africa,231,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,10.55
"Faroe Islands, Total population",Faroe Islands,Northern Europe,234,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,48.68
"Faroe Islands, Total renewable water resources",Faroe Islands,Northern Europe,234,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Fiji, GDP per capita",Fiji,Melanesia,242,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"6,069.46"
"Fiji, Total dam capacity",Fiji,Melanesia,242,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.13
"Fiji, Total population",Fiji,Melanesia,242,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,889.95
"Fiji, Total renewable water resources",Fiji,Melanesia,242,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,28.55
"Fiji, Total water withdrawal",Fiji,Melanesia,242,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.08
"Finland, GDP per capita",Finland,Northern Europe,246,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"49,955.34"
"Finland, Total dam capacity",Finland,Northern Europe,246,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,18.6
"Finland, Total population",Finland,Northern Europe,246,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"5,532.16"
"Finland, Total renewable water resources",Finland,Northern Europe,246,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,110
"Finland, Total water withdrawal",Finland,Northern Europe,246,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,2.9
"France, GDP per capita",France,Western Europe,250,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"41,168.65"
"France, Total dam capacity",France,Western Europe,250,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,9.98
"France, Total population",France,Western Europe,250,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"65,129.73"
"France, Total renewable water resources",France,Western Europe,250,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,211
"France, Total water withdrawal",France,Western Europe,250,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,26.85
"Gabon, GDP per capita",Gabon,Middle Africa,266,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"8,219.38"
"Gabon, Total dam capacity",Gabon,Middle Africa,266,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.22
"Gabon, Total population",Gabon,Middle Africa,266,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"2,172.58"
"Gabon, Total renewable water resources",Gabon,Middle Africa,266,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,166
"Gabon, Total water withdrawal",Gabon,Middle Africa,266,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.14
"Gambia, GDP per capita",Gambia,Western Africa,270,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,754.62
"Gambia, Total population",Gambia,Western Africa,270,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"2,347.71"
"Gambia, Total renewable water resources",Gambia,Western Africa,270,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,8
"Gambia, Total water withdrawal",Gambia,Western Africa,270,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.1
"Georgia, GDP per capita",Georgia,Western Asia,268,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,504.48"
"Georgia, Total dam capacity",Georgia,Western Asia,268,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,3.41
"Georgia, Total population",Georgia,Western Asia,268,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"3,996.77"
"Georgia, Total renewable water resources",Georgia,Western Asia,268,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,63.33
"Georgia, Total water withdrawal",Georgia,Western Asia,268,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,1.57
"Germany, GDP per capita",Germany,Western Europe,276,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"47,993.47"
"Germany, Total dam capacity",Germany,Western Europe,276,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,4
"Germany, Total population",Germany,Western Europe,276,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"83,517.05"
"Germany, Total renewable water resources",Germany,Western Europe,276,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,154
"Germany, Total water withdrawal",Germany,Western Europe,276,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,28.48
"Ghana, GDP per capita",Ghana,Western Africa,288,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"2,224.26"
"Ghana, Total dam capacity",Ghana,Western Africa,288,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,148.5
"Ghana, Total population",Ghana,Western Africa,288,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"30,417.86"
"Ghana, Total renewable water resources",Ghana,Western Africa,288,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,56.2
"Ghana, Total water withdrawal",Ghana,Western Africa,288,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.46
"Greece, GDP per capita",Greece,Southern Europe,300,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"19,577.78"
"Greece, Total dam capacity",Greece,Southern Europe,300,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,12.32
"Greece, Total population",Greece,Southern Europe,300,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"10,473.46"
"Greece, Total renewable water resources",Greece,Southern Europe,300,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,68.4
"Greece, Total water withdrawal",Greece,Southern Europe,300,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),   ,"Official value, data come from one national source (FAO questionnaire on water and agriculture, report, publication, official website, etc.)",   ,10.12
"Grenada, GDP per capita",Grenada,Caribbean,308,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"10,787.40"
"Grenada, Total dam capacity",Grenada,Caribbean,308,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0
"Grenada, Total population",Grenada,Caribbean,308,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,112
"Grenada, Total renewable water resources",Grenada,Caribbean,308,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.2
"Grenada, Total water withdrawal",Grenada,Caribbean,308,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.01
"Guatemala, GDP per capita",Guatemala,Central America,320,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,549.68"
"Guatemala, Total dam capacity",Guatemala,Central America,320,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.46
"Guatemala, Total population",Guatemala,Central America,320,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"17,581.47"
"Guatemala, Total renewable water resources",Guatemala,Central America,320,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,127.91
"Guatemala, Total water withdrawal",Guatemala,Central America,320,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,3.32
"Guinea, GDP per capita",Guinea,Western Africa,324,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,891.75
"Guinea, Total dam capacity",Guinea,Western Africa,324,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,1.84
"Guinea, Total population",Guinea,Western Africa,324,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"12,771.25"
"Guinea, Total renewable water resources",Guinea,Western Africa,324,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,226
"Guinea, Total water withdrawal",Guinea,Western Africa,324,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0.89
"Guinea-Bissau, GDP per capita",Guinea-Bissau,Western Africa,624,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,764.9
"Guinea-Bissau, Total dam capacity",Guinea-Bissau,Western Africa,624,Total dam capacity (km3),Total dam capacity,(km3),(km3),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Guinea-Bissau, Total population",Guinea-Bissau,Western Africa,624,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"1,920.92"
"Guinea-Bissau, Total renewable water resources",Guinea-Bissau,Western Africa,624,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,31.4
"Guinea-Bissau, Total water withdrawal",Guinea-Bissau,Western Africa,624,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.19
"Guyana, GDP per capita",Guyana,South America,328,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"4,880.59"
"Guyana, Total dam capacity",Guyana,South America,328,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.81
"Guyana, Total population",Guyana,South America,328,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,782.77
"Guyana, Total renewable water resources",Guyana,South America,328,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,271
"Guyana, Total water withdrawal",Guyana,South America,328,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1.44
"Haiti, GDP per capita",Haiti,Caribbean,332,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,835.72
"Haiti, Total dam capacity",Haiti,Caribbean,332,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.3
"Haiti, Total population",Haiti,Caribbean,332,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"11,263.08"
"Haiti, Total renewable water resources",Haiti,Caribbean,332,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,14.02
"Haiti, Total water withdrawal",Haiti,Caribbean,332,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1.45
"Holy See, Total population",Holy See,Southern Europe,336,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,0.8
"Holy See, Total renewable water resources",Holy See,Southern Europe,336,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,0
"Honduras, GDP per capita",Honduras,Central America,340,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"2,545.34"
"Honduras, Total dam capacity",Honduras,Central America,340,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,5.8
"Honduras, Total population",Honduras,Central America,340,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"9,746.12"
"Honduras, Total renewable water resources",Honduras,Central America,340,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,92.16
"Honduras, Total water withdrawal",Honduras,Central America,340,Total water withdrawal (10^9 m3/year),Total water withdrawal,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,1.61
"Hungary, GDP per capita",Hungary,Eastern Europe,348,GDP per capita (current US$/inhab),GDP per capita,(current US$/inhab),(current US$/inhab),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,"16,295.33"
"Hungary, Total dam capacity",Hungary,Eastern Europe,348,Total dam capacity (km3),Total dam capacity,(km3),(km3),E  ,Estimate either calculated as sum or identify (yield) from official values or from an AQUASTAT estimation,E  ,0.26
"Hungary, Total population",Hungary,Eastern Europe,348,Total population (1000 inhab),Total population,(1000 inhab),(1000 inhab),X  ,External value (reported by FAOSTAT or another international agency),X  ,"9,684.68"
"Hungary, Total renewable water resources",Hungary,Eastern Europe,348,Total renewable water resources (10^9 m3/year),Total renewable water resources,(10^9 m3/year),(10^9 m3/year),I  ,"Imputed (carry forward, vertical imputation, linear interpolation)",I  ,104
